current_date,name,length(interacciones)
date ('1969-12-31 19:00:00'),people18,0
current_date,name,length(interacciones)
date ('1969-12-31 19:00:00'),people6,0
current_date,name,length(interacciones)
date ('1969-12-31 19:00:00'),people43,2
current_date,name,length(interacciones)
date ('1969-12-31 19:00:00'),people143,1
current_date,name,length(interacciones)
date ('1969-12-31 19:00:00'),people193,0
current_date,name,length(interacciones)
date ('1969-12-31 19:00:00'),people93,0
current_date,name,length(interacciones)
date ('1969-12-31 19:00:00'),people12,1
current_date,name,length(interacciones)
date ('1969-12-31 19:00:00'),people168,1
date ('1969-12-31 19:00:00'),people13,1
date ('1969-12-31 19:00:00'),people194,0
date ('1969-12-31 19:00:00'),people94,4
date ('1969-12-31 19:00:00'),people144,2
date ('1969-12-31 19:00:00'),people44,4
date ('1969-12-31 19:00:00'),people169,1
date ('1969-12-31 19:00:00'),people7,1
date ('1969-12-31 19:00:00'),people45,2
date ('1969-12-31 19:00:00'),people170,0
date ('1969-12-31 19:00:00'),people95,1
date ('1969-12-31 19:00:00'),people14,0
date ('1969-12-31 19:00:00'),people145,1
date ('1969-12-31 19:00:00'),people195,0
date ('1969-12-31 19:00:00'),people8,1
date ('1969-12-31 19:00:00'),people46,0
date ('1969-12-31 19:00:00'),people171,1
date ('1969-12-31 19:00:00'),people146,1
date ('1969-12-31 19:00:00'),people15,0
date ('1969-12-31 19:00:00'),people196,0
date ('1969-12-31 19:00:00'),people9,0
date ('1969-12-31 19:00:00'),people96,3
date ('1969-12-31 19:00:00'),people47,1
date ('1969-12-31 19:00:00'),people172,2
date ('1969-12-31 19:00:00'),people147,1
date ('1969-12-31 19:00:00'),people16,0
date ('1969-12-31 19:00:00'),people197,1
date ('1969-12-31 19:00:00'),people10,1
date ('1969-12-31 19:00:00'),people97,2
date ('1969-12-31 19:00:00'),people173,0
date ('1969-12-31 19:00:00'),people48,0
date ('1969-12-31 19:00:00'),people148,1
date ('1969-12-31 19:00:00'),people17,0
date ('1969-12-31 19:00:00'),people11,0
date ('1969-12-31 19:00:00'),people198,2
date ('1969-12-31 19:00:00'),people98,0
date ('1969-12-31 19:00:00'),people174,0
date ('1969-12-31 19:00:00'),people49,5
date ('1969-12-31 19:00:00'),people149,2
date ('1969-12-31 19:00:00'),people181,0
date ('1969-12-31 19:00:00'),people0,0
date ('1969-12-31 19:00:00'),people99,0
date ('1969-12-31 19:00:00'),people199,3
date ('1969-12-31 19:00:00'),people162,1
date ('1969-12-31 19:00:00'),people137,0
date ('1969-12-31 19:00:00'),people37,3
date ('1969-12-31 19:00:00'),people187,2
date ('1969-12-31 19:00:00'),people163,1
date ('1969-12-31 19:00:00'),people1,1
date ('1969-12-31 19:00:00'),people87,1
date ('1969-12-31 19:00:00'),people182,0
date ('1969-12-31 19:00:00'),people138,2
date ('1969-12-31 19:00:00'),people38,1
date ('1969-12-31 19:00:00'),people188,0
date ('1969-12-31 19:00:00'),people164,2
date ('1969-12-31 19:00:00'),people88,0
date ('1969-12-31 19:00:00'),people139,1
date ('1969-12-31 19:00:00'),people183,0
date ('1969-12-31 19:00:00'),people39,0
date ('1969-12-31 19:00:00'),people189,1
date ('1969-12-31 19:00:00'),people165,1
date ('1969-12-31 19:00:00'),people2,0
date ('1969-12-31 19:00:00'),people140,2
date ('1969-12-31 19:00:00'),people184,3
date ('1969-12-31 19:00:00'),people190,3
date ('1969-12-31 19:00:00'),people166,1
date ('1969-12-31 19:00:00'),people89,1
date ('1969-12-31 19:00:00'),people40,1
date ('1969-12-31 19:00:00'),people141,0
date ('1969-12-31 19:00:00'),people185,1
date ('1969-12-31 19:00:00'),people3,1
date ('1969-12-31 19:00:00'),people90,0
date ('1969-12-31 19:00:00'),people167,0
date ('1969-12-31 19:00:00'),people191,2
date ('1969-12-31 19:00:00'),people41,0
date ('1969-12-31 19:00:00'),people142,3
date ('1969-12-31 19:00:00'),people186,1
date ('1969-12-31 19:00:00'),people4,0
date ('1969-12-31 19:00:00'),people192,0
date ('1969-12-31 19:00:00'),people156,0
date ('1969-12-31 19:00:00'),people91,1
date ('1969-12-31 19:00:00'),people42,2
date ('1969-12-31 19:00:00'),people131,1
date ('1969-12-31 19:00:00'),people19,4
date ('1969-12-31 19:00:00'),people175,2
date ('1969-12-31 19:00:00'),people92,2
date ('1969-12-31 19:00:00'),people157,2
date ('1969-12-31 19:00:00'),people31,0
date ('1969-12-31 19:00:00'),people132,2
date ('1969-12-31 19:00:00'),people20,1
date ('1969-12-31 19:00:00'),people176,1
date ('1969-12-31 19:00:00'),people81,2
date ('1969-12-31 19:00:00'),people158,0
date ('1969-12-31 19:00:00'),people32,1
date ('1969-12-31 19:00:00'),people133,2
date ('1969-12-31 19:00:00'),people177,1
date ('1969-12-31 19:00:00'),people21,1
date ('1969-12-31 19:00:00'),people82,2
date ('1969-12-31 19:00:00'),people33,3
date ('1969-12-31 19:00:00'),people159,4
date ('1969-12-31 19:00:00'),people178,1
date ('1969-12-31 19:00:00'),people134,2
date ('1969-12-31 19:00:00'),people22,1
date ('1969-12-31 19:00:00'),people83,2
date ('1969-12-31 19:00:00'),people34,1
date ('1969-12-31 19:00:00'),people160,2
date ('1969-12-31 19:00:00'),people179,0
date ('1969-12-31 19:00:00'),people23,4
date ('1969-12-31 19:00:00'),people135,2
date ('1969-12-31 19:00:00'),people84,2
date ('1969-12-31 19:00:00'),people35,0
date ('1969-12-31 19:00:00'),people161,0
date ('1969-12-31 19:00:00'),people180,1
date ('1969-12-31 19:00:00'),people24,2
date ('1969-12-31 19:00:00'),people136,0
date ('1969-12-31 19:00:00'),people85,1
date ('1969-12-31 19:00:00'),people36,2
date ('1969-12-31 19:00:00'),people150,0
date ('1969-12-31 19:00:00'),people25,1
date ('1969-12-31 19:00:00'),people86,0
date ('1969-12-31 19:00:00'),people125,1
date ('1969-12-31 19:00:00'),people26,0
date ('1969-12-31 19:00:00'),people151,1
date ('1969-12-31 19:00:00'),people75,1
date ('1969-12-31 19:00:00'),people126,0
date ('1969-12-31 19:00:00'),people152,2
date ('1969-12-31 19:00:00'),people27,0
date ('1969-12-31 19:00:00'),people76,0
date ('1969-12-31 19:00:00'),people127,2
date ('1969-12-31 19:00:00'),people153,0
date ('1969-12-31 19:00:00'),people28,2
date ('1969-12-31 19:00:00'),people77,1
date ('1969-12-31 19:00:00'),people128,2
date ('1969-12-31 19:00:00'),people154,1
date ('1969-12-31 19:00:00'),people29,0
date ('1969-12-31 19:00:00'),people78,1
date ('1969-12-31 19:00:00'),people129,4
date ('1969-12-31 19:00:00'),people79,0
date ('1969-12-31 19:00:00'),people155,0
date ('1969-12-31 19:00:00'),people30,1
date ('1969-12-31 19:00:00'),people130,0
